kolumna,średnia,mediana,odchylenie,min,max
PM25,19.406546704474685,15.2,15.57723057491653,3.0,321.11
PM10,24.14923526040547,19.18,18.905587026265444,3.0,441.66
NO2,22.788244453648645,20.29,11.895863212418396,-17.6,142.21
O3,40.43474806339279,39.9,23.490186941861655,-5.0,140.72
TA,6.721853745759819,6.85,8.680688863769733,-23.65,233.28
HA,70.19732224574916,75.38,18.23377030538953,9.5,154.88
PA,1004.5328212098536,1006.68,29.187837919830702,436.56,1034.94
